"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"33","madracis","KDHIII_37_15_Feb18_011.fcs",1,"MM1-april28",2,188,2.4559,2.2546,0.2013,"8min","KDHIII_37_15_Feb18_011.fcs",129938,2762,4949,7606,1226,989,2225,13877,1137,952,2122,13212,521.609538002981,24063.5866865375,6090.41231992052,4913.0650769995,11053.1544957774,68936.9100844511,435477.099236641,366540.18915219
"34","siderastrea","KDHIII_37_15_Feb18_012.fcs",1,"S1-April28",0,190,2.5079,2.3055,0.2024,"8min","KDHIII_37_15_Feb18_012.fcs",139049,3002,5085,7723,1257,781,2322,16016,1183,721,2210,15431,1798.41897233202,23325.0988142292,6210.4743083004,3858.69565217391,11472.3320158103,79130.4347826087,NA,NA
"35","siderastrea","KDHIII_37_15_Feb18_013.fcs",1,"S1-April28",1,190,2.4587,2.2553,0.2034,"8min","KDHIII_37_15_Feb18_013.fcs",141511,2788,5580,8262,1335,953,2768,18086,1268,919,2662,17212,521.140609636185,26912.4877089479,6563.42182890855,4685.34906588004,13608.6529006883,88918.3874139626,NA,NA
"36","siderastrea","KDHIII_37_15_Feb18_014.fcs",1,"S1-April28",2,190,2.443,2.2386,0.2044,"8min","KDHIII_37_15_Feb18_014.fcs",154814,2937,6065,8956,1669,1265,2791,21255,1517,1198,2580,19555,225.048923679061,29447.1624266145,8165.36203522505,6188.84540117417,13654.5988258317,103987.279843444,NA,NA
"37","cont","KDHIII_37_15_Feb18_015.fcs",1,"Cont2-april28",0,190,2.3816,2.1764,0.2052,"8min","KDHIII_37_15_Feb18_015.fcs",128898,3777,5413,8802,1310,1085,2363,17723,1256,1069,2260,16891,1890.83820662768,24488.3040935673,6384.01559454191,5287.52436647174,11515.5945419103,86369.395711501,496417.910447761,410048.51473626
"38","cont","KDHIII_37_15_Feb18_016.fcs",1,"Cont2-april28",1,190,2.4359,2.2348,0.2011,"8min","KDHIII_37_15_Feb18_016.fcs",125706,2848,6078,8678,1499,1099,2829,19156,1418,1071,2717,18142,1233.21730482347,28990.5519641969,7454.00298359025,5464.94281452014,14067.6280457484,95256.0914967678,526242.424242424,430986.332745656
"39","cont","KDHIII_37_15_Feb18_017.fcs",1,"Cont2-april28",2,193,2.423,2.2187,0.2043,"8min","KDHIII_37_15_Feb18_017.fcs",128966,2728,7071,9235,1995,1384,2683,25161,1901,1344,2562,24419,2760.64610866373,31850.2202643172,9765.05139500734,6774.35144395497,13132.6480665688,123157.121879589,596766.467065868,473609.345186279
"40","porites","KDHIII_37_15_Feb18_018.fcs",1,"PA1-april28",0,190,2.4156,2.1481,0.2675,"8min","KDHIII_37_15_Feb18_018.fcs",207860,3434,6976,9724,1703,1204,2929,23957,1630,1180,2799,22852,2564.48598130841,23514.0186915888,6366.35514018692,4500.93457943925,10949.5327102804,89558.8785046729,509463.955637708,419905.077133035
"41","porites","KDHIII_37_15_Feb18_019.fcs",1,"PA1-april28",1,190,2.3527,2.1523,0.2004,"8min","KDHIII_37_15_Feb18_019.fcs",145330,2523,5718,7986,1392,1159,2549,19009,1305,1155,2437,18202,1272.45508982036,27260.4790419162,6946.10778443114,5783.43313373253,12719.5608782435,94855.2894211577,527020.109689214,432164.820268056
"42","porites","KDHIII_37_15_Feb18_020.fcs",1,"PA1-april28",2,190,2.5133,2.3109,0.2024,"8min","KDHIII_37_15_Feb18_020.fcs",184324,2702,6076,8580,1620,1291,2887,24898,1549,1262,2716,23250,978.260869565217,29041.5019762846,8003.95256916996,6378.45849802372,14263.8339920949,123013.833992095,572990.654205607,449976.820213513
